#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC7   14108  2.67689 14.906 FO
LMC-SC7   21803  3.34031 15.249 FU
LMC-SC7   21841  4.81308 14.816 FU
LMC-SC7   21940  3.79062 15.259 FU
LMC-SC7   30165  3.39528 14.495 FO
LMC-SC7   30189  1.90513 15.190 FO
LMC-SC7   30199  4.10536 14.977 FU
LMC-SC7   30200  3.28632 15.121 FU
LMC-SC7   38692  2.48133 14.878 FO
LMC-SC7   47332  2.41714 14.930 FO
LMC-SC7   47466  1.30877 16.335 FU
LMC-SC7   55964  6.73433 14.305 FU
LMC-SC7   55965  5.38312 14.394 FU
LMC-SC7   64918  3.36583 15.624 FU
LMC-SC7   79610  3.28909 15.322 FU
LMC-SC7   79631  2.48512 15.792 FU
LMC-SC7   86332  3.07787 15.152 FU
LMC-SC7   93939  3.41987 15.127 FU
LMC-SC7  120458  2.83181 15.572 FU
LMC-SC7  126780  2.98019 15.596 FU
LMC-SC7  126816  2.76160 14.824 FO
LMC-SC7  126926  2.20564 15.814 FU
LMC-SC7  127752  1.16728 18.021 FA
LMC-SC7  134363  2.69339 14.897 FO
LMC-SC7  134411 15.84419 15.669 FA
LMC-SC7  142153  6.45673 14.531 FU
LMC-SC7  142893 17.80781 17.283 FA
LMC-SC7  149485  3.26787 15.385 FU
LMC-SC7  149541  1.42276 15.578 FO
LMC-SC7  157350  2.34265 15.183 FO
LMC-SC7  157381  3.48190 15.618 FU
LMC-SC7  165501  4.37815 15.019 FU
LMC-SC7  174573  3.76557 15.540 FU
LMC-SC7  184038 13.51351 13.561 FU
LMC-SC7  192212  2.41249 15.036 FO
LMC-SC7  214432  2.17651 15.204 FO
LMC-SC7  228382 27.75581 17.441 FA
