Mass,Radius
1.7618,10.4768
1.2421,11.7382
1.5494,11.5149
1.0064,10.8602
1.0522,10.4652
1.013,11.1272
1.966,12.5388
1.0118,10.7686
1.4255,10.9793
1.1305,10.8379
1.1642,11.0022
1.3706,11.5517
1.6171,10.958
1.3403,10.7063
0.9249,10.148
1.1082,10.5067
1.0643,10.7707
2.0401,9.2581
1.8371,10.549
1.0527,10.7075
1.3247,11.8613
1.1076,10.6537
1.0224,10.3481
0.8821,9.6127
1.352,10.8239
0.9106,10.2759
0.9054,10.2646
1.1378,11.4858
1.7938,11.5864
1.5865,10.6218
1.1258,10.7858
1.1098,11.1593
0.9727,10.6668
1.0319,10.5108
0.9437,10.52
1.0723,10.8919
1.2563,10.8915
1.773,10.5956
1.3813,10.7086
1.2401,12.2894
1.2245,10.8923
1.3072,10.9734
1.1676,10.7566
1.1026,10.3916
1.5578,11.8961
2.5895,10.6671
1.41,10.7927
1.4769,11.0121
2.4762,12.9053
1.5168,11.5108
1.2085,11.2237
0.9729,10.7002
1.1358,13.0814
1.6184,11.6784
1.2279,11.1551
1.0527,10.816
1.422,10.864
1.0861,10.5569
1.162,11.8911
1.5734,11.0463
1.4087,11.0714
1.0623,10.686
0.9109,10.0422
0.8768,10.0837
1.1116,11.0575
1.0185,10.9962
1.9939,9.2431
1.4656,10.8515
1.8212,10.37
1.096,10.5343
2.0097,8.6563
0.9622,11.0213
1.199,11.1345
1.375,11.0804
1.272,10.7889
1.0287,10.5106
2.0587,9.2296
1.5642,10.9255
1.2066,10.842
1.6627,11.9223
1.3001,11.1606
1.0234,10.4054
1.2005,11.1115
1.6403,11.3036
1.3116,11.0851
1.2827,11.2526
1.0196,10.339
1.7456,11.8147
1.4725,10.8958
1.1062,11.18
1.3715,10.8079
1.0001,10.9938
1.1286,10.5918
1.6012,12.4527
1.1823,11.2854
2.0945,8.8463
1.9894,7.8897
1.7909,10.7539
1.484,10.9805
1.3211,11.5172
1.4202,11.1126
2.0698,8.2926
1.1661,11.7606
1.1748,11.138
1.2197,10.8525
1.1147,11.062
1.1626,10.6363
0.9712,10.5806
