G,BP-RP,MG
20.0586,0.5298,5.4636
20.5232,0.53,5.9282
18.6786,0.53,4.0836
18.4752,0.5301,3.8802
18.942,0.5302,4.347
19.2825,0.5305,4.6875
20.5393,0.5307,5.9443
18.5845,0.5307,3.9895
19.1271,0.5308,4.5321
20.3914,0.5313,5.7964
19.4618,0.5314,4.8668
19.7421,0.5314,5.1471
19.1611,0.5316,4.5661
19.3811,0.5316,4.7861
20.1058,0.532,5.5108
19.1026,0.5321,4.5076
18.3866,0.5322,3.7916
17.8189,0.5323,3.2239
19.4608,0.5325,4.8658
19.2513,0.5325,4.6563
20.0879,0.5327,5.4929
20.5392,0.5328,5.9442
20.659,0.5329,6.064
19.1652,0.533,4.5702
19.19,0.5335,4.595
18.6011,0.5337,4.0061
20.6709,0.5338,6.0759
20.1852,0.534,5.5902
19.8182,0.5341,5.2232
18.7064,0.5341,4.1114
18.516,0.5342,3.921
20.329,0.5343,5.734
19.7904,0.5343,5.1954
19.9379,0.5344,5.3429
19.8948,0.5345,5.2998
20.7975,0.5346,6.2025
18.7566,0.5347,4.1616
18.6728,0.5347,4.0778
19.9019,0.5349,5.3069
19.6365,0.535,5.0415
18.1568,0.5351,3.5618
18.9128,0.5352,4.3178
18.7964,0.5353,4.2014
20.2456,0.5353,5.6506
19.3243,0.5356,4.7293
18.982,0.536,4.387
19.5543,0.5361,4.9593
18.642,0.5361,4.047
19.0128,0.5362,4.4178
18.5107,0.5368,3.9157
18.7845,0.5369,4.1895
19.0409,0.537,4.4459
19.7352,0.5374,5.1402
18.8808,0.5376,4.2858
20.1178,0.5379,5.5228
18.4139,0.5379,3.8189
18.5754,0.5379,3.9804
20.2164,0.538,5.6214
19.5531,0.5383,4.9581
17.8261,0.5388,3.2311
19.6128,0.5389,5.0178
18.9237,0.5393,4.3287
19.4957,0.5394,4.9007
18.5144,0.5394,3.9194
20.0967,0.5395,5.5017
19.5338,0.5398,4.9388
19.0197,0.5401,4.4247
19.6471,0.5401,5.0521
18.8865,0.5403,4.2915
19.8787,0.5404,5.2837
18.8365,0.5404,4.2415
19.3151,0.5406,4.7201
19.368,0.5406,4.773
20.1484,0.5407,5.5534
