ID F555W F439W Color errF555W errF439W errColor
200421 24.9438 25.8479  0.9041 0.4907 0.2563 0.5536
200422 24.6308 25.4769  0.8461 0.5577 0.1533 0.5784
200423 24.2658 24.8449  0.5791 0.2160 0.1388 0.2568
200424 23.7738 24.6519  0.8781 0.1917 0.1326 0.2331
200425 25.2558 26.0799  0.8241 0.4774 0.2584 0.5428
    69 17.9228 18.5639  0.6411 0.0161 0.0113 0.0197
    68 19.3318 20.2609  0.9291 0.0193 0.0132 0.0234
200426 24.4228 24.0319 -0.3909 0.3433 0.0828 0.3531
200427 24.6518 25.4199  0.7681 0.3635 0.2220 0.4259
200428 24.8628 25.5539  0.6911 0.4598 0.1790 0.4934
200429 24.5138 25.2639  0.7501 0.2320 0.1271 0.2645
200430 25.9468 25.3689 -0.5779 1.4102 0.1594 1.4192
200431 25.4628 25.5909  0.1281 0.4889 0.1935 0.5258
200432 25.1648 25.6629  0.4981 0.6393 0.1544 0.6577
    70 19.5478 20.4779  0.9301 0.0202 0.0135 0.0243
200433 26.2018 25.6349 -0.5669 1.8140 0.1841 1.8233
200434 24.9928 26.4359  1.4431 0.6993 0.2575 0.7452
200435 25.2668 25.7379  0.4711 0.5385 0.2042 0.5759
200436 25.3948 26.1779  0.7831 0.6533 0.2452 0.6978
200437 24.8538 25.7559  0.9021 0.4172 0.1657 0.4489
200438 25.2238 25.6819  0.4581 0.4225 0.2281 0.4801
200439 24.8998 25.8269  0.9271 0.5717 0.2958 0.6437
200440 24.9208 25.5199  0.5991 0.4236 0.1897 0.4641
200441 25.2168 25.9749  0.7581 0.6305 0.2029 0.6623
200442 24.8498 26.3749  1.5251 0.3184 0.2910 0.4313
200443 23.1428 23.0609 -0.0819 0.0958 0.0342 0.1017
    73 17.6568 18.2739  0.6171 0.0138 0.0120 0.0183
200444 20.8938 22.2969  1.4031 0.0310 0.0238 0.0391
200445 24.9598 25.8159  0.8561 0.7338 0.2391 0.7718
    71 19.0558 19.8279  0.7721 0.0219 0.0147 0.0264
200446 23.4478 24.6149  1.1671 0.1422 0.1077 0.1784
200447 25.3008 25.3119  0.0111 0.6857 0.1847 0.7101
200449 25.0038 25.3149  0.3111 0.4219 0.1387 0.4441
200448 25.8698 25.8549 -0.0149 0.9034 0.2404 0.9348
200450 25.6298 25.5169 -0.1129 0.8397 0.2782 0.8846
    74 17.3868 18.0009  0.6141 0.0174 0.0097 0.0199
